State,County,Cases as of 10/12/2020,90th Percentile AQI,Days Ozone,Days PM2.5,Mean Temp,Population Density (2010)
New Jersey,Middlesex,20475,61,247,95,58.9,2621.6
New Jersey,Monmouth,12936,50,240,0,59,1344.7
New Jersey,Morris,8215,50,335,18,55.5,1069.8
New Jersey,Ocean,15375,58,218,131,58.9,917
New Jersey,Passaic,19693,54,224,53,55.8,2715.3
New Jersey,Union,18316,59,0,256,58.7,5216.1
New Jersey,Warren,1488,52,197,120,54.9,304.5
New York,Albany,3324,53,242,123,52.3,581.9
New York,Bronx,53960,63,164,135,59.1,32903.6
New York,Chautauqua,732,49,320,23,51.8,127.2
New York,Dutchess,5271,45,331,0,54.9,373.9
New York,Erie,12182,54,221,117,52.4,881.4
New York,Essex,181,50,362,2,46.1,21.9
New York,Franklin,72,0,0,0,46.6,31.7
New York,Hamilton,16,44,323,0,45.5,2.8
New York,Herkimer,363,36,185,0,47.5,45.7
New York,Jefferson,186,46,205,0,49.9,91.6
New York,Kings,71941,46,0,365,59.5,35369.1
New York,Monroe,6490,52,235,127,52.4,1132.6
New York,Nassau,48099,42,0,349,58.2,4704.8
New York,New York,34501,58,184,181,59.5,69467.5
New York,Niagara,1907,44,352,0,52.8,414.4
New York,Oneida,2554,35,0,355,49.6,193.7
New York,Onondaga,4843,49,281,84,51.1,600
New York,Orange,12930,47,275,90,54.7,459.3
New York,Oswego,557,45,321,0,51,128.3
New York,Putnam,1698,46,329,0,55.3,432.9
New York,Queens,74404,58,189,91,59,20553.6
New York,Richmond,16496,55,224,141,59.6,8030.3
New York,Rockland,16829,49,296,69,56.4,1795.9
New York,Saratoga,1168,44,331,0,51,271.1
New York,Seneca,120,1,0,0,51.8,108.9
New York,St. Lawrence,346,80,0,0,48.3,41.8
New York,Steuben,731,47,292,73,50.7,71.2
New York,Suffolk,47561,61,295,69,56.3,1637.4
New York,Tompkins,490,45,353,0,50.5,214
New York,Wayne,365,47,268,0,51.5,155.3
New York,Westchester,39064,50,292,73,56.7,2204.7
Ohio,Adams,178,36,0,324,58,48.9
Ohio,Allen,1776,56,214,118,55.6,144.6
Ohio,Ashtabula,690,47,245,0,53.3,264.2
Ohio,Athens,1053,43,0,120,57,128.6
Ohio,Belmont,744,38,0,90,55.5,132.3
Ohio,Butler,7335,78,275,58,57.5,788.2
Ohio,Clark,2167,64,157,205,56.1,348
Ohio,Clermont,1091,58,213,145,58,436.5
Ohio,Clinton,372,58,244,0,56.8,102.9
Ohio,Columbiana,2027,11,0,0,54.1,202.7
Ohio,Cuyahoga,18620,70,133,214,55,2800
Ohio,Delaware,2639,51,241,0,55.9,393.2
Ohio,Fayette,371,48,355,0,56.7,71.4
Ohio,Franklin,29507,65,174,185,56.9,2186.1
Ohio,Gallia,248,46,0,0,57.8,66.3
Ohio,Geauga,773,61,230,0,53.2,233.4
Ohio,Greene,1914,54,243,0,56.7,390.5
Ohio,Hamilton,14907,77,152,206,58.4,1976.7
Ohio,Harrison,72,30,0,55,55.3,39.4
Ohio,Jefferson,406,63,119,239,55.1,170.7
Ohio,Knox,323,51,245,0,54.4,115.9
Ohio,Lake,1772,54,231,133,54.3,1011.2
Ohio,Lawrence,809,51,197,168,58.7,137.7
Ohio,Licking,2212,50,245,0,55.4,243.9
Ohio,Lorain,2513,52,204,158,54.8,613.6
Ohio,Lucas,7823,61,200,150,56.1,1296.2
Ohio,Madison,970,54,245,0,56.3,93.2
Ohio,Mahoning,3400,54,177,183,53.8,580.2
Ohio,Medina,1647,53,163,190,54.7,409
Ohio,Miami,1792,49,241,0,56.2,252.1
Ohio,Montgomery,9154,64,168,195,56.9,1159.5
Ohio,Morgan,59,10,0,0,56.6,36.2
Ohio,Noble,86,49,346,11,56,36.8
Ohio,Portage,1424,49,214,56,54.2,331.2
Ohio,Preble,525,60,219,145,55.9,99.7
Ohio,Scioto,690,37,0,103,58.3,130.3
Ohio,Stark,3408,67,164,201,55.3,652.9
Ohio,Summit,6032,61,170,193,55.4,1312.6
Ohio,Trumbull,2099,58,208,154,53.6,340
Ohio,Warren,3606,63,199,161,57.5,530
Ohio,Washington,300,51,245,0,57.6,97.8
Ohio,Wood,2270,49,244,0,56.1,203.3
Pennsylvania,Adams,945,59,266,99,57.3,195.5
Pennsylvania,Allegheny,13436,81,98,243,56,1675.6
Pennsylvania,Armstrong,523,51,246,119,54.2,105.5
Pennsylvania,Beaver,2071,64,231,134,55,392.3
Pennsylvania,Berks,7901,63,242,123,57.3,480.4
Pennsylvania,Blair,916,60,211,141,54.1,241.7
